# docs/amharic-strings-glossary.csv (693 rows, last commit eb3d283 2026-09-14) vs Ethiopic runs in src/ (heuristic regex; fragments included)
distinct Ethiopic runs in src: 1750
not present in (or a substring of) any glossary entry: 1065
glossary entries no longer found verbatim in src: በጥበቃ ላይ ያሉ, የመታወቂያ ጥያቄ ዝርዝር

src/lib/residentConstants.ts:24	ሁለተኛ ደረጃ
src/routes/woreda.rental-houses.occupants.new.tsx:1030	ተጨማሪ አስተያየት እዚህ ይጻፉ...
src/routes/woreda.residents.$residentId.index.tsx:1010	ተጨማሪ አባል ጨምር
src/routes/woreda.rental-houses.occupants.new.tsx:997	ተፈቅዷል
src/routes/woreda.credentials.new.tsx:567	ተፈጥሯል፤ ፎቶ/ሰነድ ማያያዝ አልተሳካም። እባክዎ ይህን ቁጥር ለሱፐርቫይዘር ያሳውቁ፣ እንደገና አያስገቡ
src/routes/woreda.services.$requestId.index.tsx:700	ታሪኩን መጫን አልተቻለም
src/routes/v.$token.tsx:247	ታትሟል፤ ገና አልተሰጠም
src/utils/ethiopianCalendar.ts:11	ታኅሣሥ
src/lib/residentConstants.ts:25	ቴክኒክና ሙያ
src/components/verification/HararildScanner.tsx:341	ትር ይሂዱ።
src/routes/woreda.reports.index.tsx:261	ትርን ያስቀምጣል
src/routes/v.$token.tsx:165	ትክክለኛ መታወቂያ አይደለም
src/components/verification/HararildScanner.tsx:506	ትክክል አይደለም
src/lib/residentConstants.ts:5	ትግራይ
src/routes/login.tsx:330	ችግር እያጋጠመዎት ነው
src/utils/ethiopianCalendar.ts:10	ኅዳር
src/utils/ethiopianCalendar.ts:19	ነሐሴ
src/routes/woreda.residents.$residentId.index.tsx:1015	ነባር ነዋሪ አክል
src/routes/woreda.residents.new.tsx:186	ነዋሪ መዝግብ
src/routes/woreda.credentials.new.tsx:646	ነዋሪ በመጫን ላይ
src/routes/woreda.dashboard.tsx:49	ነዋሪ ተመዝግቧል
src/routes/woreda.dashboard.tsx:51	ነዋሪ ታግዷል
src/routes/woreda.residents.$residentId.edit.tsx:275	ነዋሪ አልተገኘም
src/routes/woreda.audit.tsx:121	ነዋሪ ክፈት
src/routes/woreda.dashboard.tsx:54	ነዋሪ ወደ ንቁ ተመልሷል
src/routes/woreda.dashboard.tsx:53	ነዋሪ ወደ ኢ-ንቁ ተቀይሯል
src/routes/woreda.civil.marriage.new.tsx:32	ነዋሪ ይምረጡ ወይም ስም ያስገቡ
src/routes/woreda.dashboard.tsx:52	ነዋሪ ዳግም ነቅቷል
src/routes/woreda.credentials.new.tsx:421	ነዋሪው በቤተሰብ ውስጥ አይደለም
src/routes/woreda.credentials.$requestId.print.tsx:510	ነዋሪው ንቁ እና አልታገደም
src/components/residents/ResidentActions.tsx:372	ነዋሪውን ወደ ንቁ ሁኔታ መቀየር ይፈልጋሉ
src/components/residents/ResidentActions.tsx:326	ነዋሪውን ዳግም ማግበር ይፈልጋሉ
src/hooks/useReportsAggregate.ts:571	ነዋሪዎች በሁኔታ
src/hooks/useReportsAggregate.ts:581	ነዋሪዎች በሃይማኖት
src/hooks/useReportsAggregate.ts:596	ነዋሪዎች በሙያ
src/hooks/useReportsAggregate.ts:601	ነዋሪዎች በቤት ዓይነት
src/hooks/useReportsAggregate.ts:576	ነዋሪዎች በብሔር
src/hooks/useReportsAggregate.ts:591	ነዋሪዎች በትምህርት ደረጃ
src/hooks/useReportsAggregate.ts:586	ነዋሪዎች በዕድሜ ክልል
src/hooks/useReportsAggregate.ts:569	ነዋሪዎች በጾታ
src/routes/woreda.audit.tsx:124	ነዋሪዎችን ክፈት
src/routes/admin.tenants.$woredaId.provision.tsx:253	ነዋሪዎች፣ ቤተሰቦች፣ ዳሽቦርድ እና ቅንብሮች ሁልጊዜ ንቁ ናቸው
src/routes/woreda.dashboard.tsx:900	ነገር
src/routes/woreda.credentials.$requestId.index.tsx:1988	ነፃ ተደርጓል
src/routes/woreda.credentials.$requestId.index.tsx:2704	ንቁ ማስረጃ
src/routes/woreda.rental-accounts.$occupancyId.tsx:723	ንቁ የክፍያ ዕቅድ የለም
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:678	ንብረቱን ክፈት
src/routes/woreda.approvals.tsx:160	ንዑስ ዓይነት
src/lib/residentConstants.ts:34	ንግድ
src/routes/woreda.rental-houses.$houseId.index.tsx:327	አሁን ተከራይ
src/components/common/OfflineStatusBar.tsx:92	አሁን አመሳስል
src/components/common/WorkflowStepper.tsx:96	አሁን ያለበት ደረጃ
src/components/gis/LocationPickerMap.tsx:126	አልተመረጠም
src/routes/woreda.households.$householdId.index.tsx:559	አልተመዘገበም
src/components/verification/HararildScanner.tsx:592	አልተረጋገጠም
src/routes/woreda.rental-reports.tsx:37	አልተከበረም
src/routes/woreda.credentials.$requestId.print.tsx:1061	አልታተመም
src/routes/woreda.credentials.$requestId.index.tsx:1002	አልፏል
src/lib/residentConstants.ts:4	አማራ
src/routes/woreda.credentials.new.tsx:1155	አማራጭ ማስታወሻ
src/routes/woreda.reports.$reportType.print.tsx:204	አማካይ ክፍያ (ብር
src/components/credentials/KpiWidgetRow.tsx:91	አማካይ የማጠናቀቂያ ጊዜ
src/utils/amountInWords.ts:83	አምስት
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:645	አረጋጋጭ፦ ማፅደቁ ንቁ ኪራይን ከመዝጋቱ በፊት የመልቀቂያ ዝርዝሮችን ያረጋግጡ።
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:635	አረጋጋጭ፦ ማፅደቁ ኪራይን ከመክፈቱ በፊት ማንነት፣ የቤት አቅርቦት እና መጠን ያረጋግጡ።
src/components/credentials/CredentialQueueTable.tsx:65	አረጋግጥ
src/routes/woreda.credentials.$requestId.print.tsx:1339	አረጋግጥ እና አትም
src/utils/amountInWords.ts:83	አራት
src/utils/amountInWords.ts:96	አርባ
src/utils/amountInWords.ts:87	አስራ ሁለት
src/utils/amountInWords.ts:92	አስራ ሰባት
src/utils/amountInWords.ts:93	አስራ ስምንት
src/utils/amountInWords.ts:91	አስራ ስድስት
src/utils/amountInWords.ts:88	አስራ ሶስት
src/utils/amountInWords.ts:90	አስራ አምስት
src/utils/amountInWords.ts:89	አስራ አራት
src/utils/amountInWords.ts:86	አስራ አንድ
src/utils/amountInWords.ts:94	አስራ ዘጠኝ
src/utils/amountInWords.ts:85	አስር
src/components/common/ChangePasswordDialog.tsx:144	አስቀምጥ
src/routes/woreda.rental-houses.occupants.new.tsx:971	አስተዳደራዊ ማረጋገጫ
src/routes/admin.tenants.index.tsx:437	አስተዳዳሪ መድብ
src/routes/admin.tenants.index.tsx:396	አስተዳዳሪ አልተመደበም
src/components/admin/PlatformUsersTab.tsx:580	አስተዳዳሪውን መፍቀድ
src/components/admin/PlatformUsersTab.tsx:556	አስተዳዳሪውን ማገድ
src/components/credentials/CredentialQueueTable.tsx:88	አስነቃ
src/routes/woreda.civil.marriage.new.tsx:325	አስገባ
src/routes/woreda.rental-houses.occupants.new.tsx:955	አስፈላጊ ሰነዶች
src/routes/woreda.rental-accounts.$occupancyId.tsx:907	አቅርብ
src/routes/woreda.credentials.$requestId.print.tsx:989	አቅጣጫ
src/components/settings/LetterTemplatesTab.tsx:107	አበበ በቀለ ታደሰ
src/components/residents/ResidentProfileTabs.tsx:361	አባል አልተገኘም
src/routes/woreda.rental-houses.occupants.new.tsx:880	አባል ጨምር
src/routes/woreda.credentials.$requestId.index.tsx:904	አባሪዎች
src/routes/woreda.rental-houses.occupants.new.tsx:874	አብረው የሚኖሩ የቤተሰብ አባላት
src/routes/woreda.credentials.$requestId.print.tsx:960	አታሚ
src/routes/woreda.credentials.$requestId.index.tsx:1148	አትቀበል
src/components/residents/ResidentActions.tsx:272	አንቃ
src/utils/amountInWords.ts:83	አንድ
src/utils/amountInWords.ts:8	አንድ ሺህ
src/routes/woreda.reports.index.tsx:578	አውርድ
src/routes/woreda.reports.$reportType.print.tsx:320	አዘጋጅ
src/components/settings/CustomRolesTab.tsx:107	አዲስ ሚና
src/components/services/ServiceRequestList.tsx:417	አዲስ ቅሬታ
src/routes/woreda.services.new.tsx:345	አዲስ ቅሬታ ማስመዝገቢያ
src/components/verification/HararildScanner.tsx:432	አዲስ ቅኝት
src/routes/woreda.households.index.tsx:409	አዲስ ቤተሰብ መዝግብ
src/routes/woreda.rental-houses.index.tsx:323	አዲስ ቤት
src/components/settings/CustomRolesTab.tsx:223	አዲስ ብጁ ሚና
src/config/permissionLabels.ts:27	አዲስ ነዋሪ መመዝገብ
src/components/forms/HouseholdFormFields.tsx:240	አዲስ ነዋሪ መዝግብ
src/components/admin/PlatformUsersTab.tsx:362	አዲስ አስተዳዳሪ
src/routes/woreda.credentials.new.tsx:65	አዲስ አወጣጥ
src/routes/woreda.settings.woreda-configuration.tsx:1450	አዲስ ክፍያ
src/routes/woreda.settings.woreda-configuration.tsx:1248	አዲስ የአገልግሎት ክፍያ
src/routes/woreda.services.new.tsx:345	አዲስ የአገልግሎት ጥያቄ
src/components/common/ChangePasswordDialog.tsx:91	አዲስ የይለፍ ቃል
src/components/credentials/CredentialQueueTable.tsx:344	አዲስ ጥያቄ
src/routes/woreda.residents.$residentId.index.tsx:354	አገናኙን መቅዳት አልተሳካም
src/components/settings/UsersRolesTab.tsx:440	አግድ
src/routes/woreda.services.new.tsx:519	አግድ አይደለም
src/routes/woreda.credentials.$requestId.print.tsx:193	አግድም
src/components/common/TablePagination.tsx:63	አጠቃላይ
src/routes/woreda.services.$requestId.index.tsx:1005	አጠናቅቅ
src/components/workflow/WorkflowQueueTable.tsx:270	አጽዳ
src/components/credentials/CredentialQueueTable.tsx:69	አጽድቅ
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:788	አፅድቅ
src/lib/residentConstants.ts:9	አፋር
src/routes/woreda.households.index.tsx:644	ኢ-ንቁ አድርግ
src/routes/login.tsx:255	ኢሜይል ወይም የተጠቃሚ ቁጥር
src/routes/woreda.services.$requestId.index.tsx:451	እርማት ተጠይቋል
src/routes/woreda.civil.$eventId.tsx:1058	እርማት እንዲደረግ መልስ
src/routes/woreda.credentials.$requestId.index.tsx:1125	እርስዎ ራስዎ ያረጋገጡትን ጥያቄ ማጽደቅ አይችሉም
src/components/workflow/WorkflowQueueTable.tsx:257	እስከ
src/routes/woreda.reports.index.tsx:203	እስካሁን ምንም ማጣሪያ አልተቀመጠም
src/routes/woreda.residents.$residentId.index.tsx:540	እስካሁን ምንም እንቅስቃሴ የለም
src/routes/woreda.settings.woreda-configuration.tsx:1284	እስካሁን ምንም ክፍያ አልተዋቀረም
src/components/verification/HararildScanner.tsx:341	እባክዎ ወደ
src/routes/woreda.credentials.$requestId.print.tsx:848	እባክዎ ይጠብቁ ወይም ዳግም ይሞክሩ።
src/routes/login.tsx:249	እባክዎን የተመደበልዎትን የወረዳ ሠራተኛ መግቢያ መረጃ ያስገቡ።
src/routes/login.tsx:249	እንኳን ደህና መጡ
src/routes/woreda.civil.$eventId.tsx:787	እንደገና ላክ
src/routes/woreda.credentials.$requestId.print.tsx:644	እንደገና መሞከር አልተሳካም
src/routes/woreda.civil.$eventId.tsx:493	እንደገና ማስገባት አልተሳካም
src/routes/woreda.rental-accounts.$occupancyId.tsx:453	እንደገና ማቅረብ አልተሳካም
src/routes/woreda.rental-houses.occupants.new.tsx:710	እንደገና ሞክር
src/routes/woreda.services.$requestId.index.tsx:755	እንደገና አቅርብ
src/routes/woreda.revenue.index.tsx:476	እንደገና አትም
src/routes/woreda.credentials.$requestId.index.tsx:896	እንደገና ክፈት
src/routes/woreda.reports.index.tsx:278	እንደገና ይሞክሩ
src/routes/woreda.rental-houses.occupants.new.tsx:499	እየተመዘገበ...
src/components/settings/LetterTemplatesTab.tsx:255	እያንዳንዱ በዚህ አብነት የሚወጣ ደብዳቤ በሕዝብ ማረጋገጫ ዩአርኤል የሚሠራ
src/routes/woreda.rental-houses.$houseId.index.tsx:41	እድሳት ላይ
src/components/admin/PlatformUsersTab.tsx:519	እግድ
src/lib/residentConstants.ts:15	ኦርቶዶክስ
src/lib/residentConstants.ts:3	ኦሮሞ
src/components/layout/AppShell.tsx:87	ኦዲተር
src/components/print/PrintDocumentShell.tsx:447	ኦፊሴላዊ ማህተም
src/routes/woreda.rental-houses.occupants.new.tsx:981	ኦፊሴላዊ ማረጋገጫ
src/routes/woreda.civil.birth.new.tsx:460	ከማስገባትዎ በፊት ያረጋግጡ፤ ይህ የተለየ ልጅ ከሆነ ብቻ ይቀጥሉ።
src/routes/woreda.revenue.index.tsx:356	ከቤተሰብ ወይም ከኪራይ ክፍል ቀበሌ ጋር ይዛመዳል
src/routes/woreda.audit.tsx:475	ከተቀየረው መዝገብ ጋር የተመዘገበውን ቀበሌ ያዛምዳል
src/routes/woreda.settings.woreda-configuration.tsx:421	ከነጭ ወይም ግልጽ ጀርባ ይቅናል
src/routes/woreda.settings.woreda-configuration.tsx:338	ከዚህ በታች ካለው የይፋዊ መዝገብ ስም ይልቅ እንደ ሰጪ አካል
src/routes/woreda.rental-accounts.$occupancyId.tsx:960	ከጠቅላላ መጠን ጋር ትክክል መሆን አለበት፣ ካልሆነ ለሂሳብ ማስተካከያ ይመዘገባል
src/routes/woreda.rental-accounts.$occupancyId.tsx:1065	ከጠቅላላ መጠን ጋር ትክክል መሆን አለበት፣ ካልሆነ ወራቱ ሳይከፈሉ ለሂሳብ ማስተካከያ ይመዘገባል
src/components/forms/HouseholdFormFields.tsx:320	ኪራይ (በግለሰብ
src/routes/woreda.households.$householdId.index.tsx:337	ኪራይ (ብር
src/routes/woreda.rental-houses.$houseId.index.tsx:289	ኪራይ ሁኔታ
src/routes/woreda.rental-accounts.$occupancyId.tsx:1036	ኪራይ ከመስከረም እስከ ነሐሴ ብቻ ይከፈላል
src/components/forms/ResidentWizardSteps.tsx:784	ካለፈው ቀበሌ/ወረዳ የተሰጠ የክሊራንስ ደብዳቤ ካለ ያያይዙ
src/routes/woreda.rental-accounts.$occupancyId.tsx:882	ካሉት ያለፈባቸው ወራት ውስጥ
src/routes/woreda.credentials.$requestId.print.tsx:1056	ካርዱ በትክክል ታትሟል
src/routes/woreda.credentials.$requestId.print.tsx:1061	ካርዱ በአግባቡ ካልታተመ
src/lib/residentConstants.ts:17	ካቶሊክ
src/routes/woreda.settings.woreda-configuration.tsx:1441	ክለሳ ያስፈልጋል
src/routes/woreda.services.$requestId.index.tsx:735	ክለሳ ጀምር
src/components/forms/ResidentWizardSteps.tsx:528	ክልል/ከተማ/ወረዳ/ቀበሌ/ቤት ቁጥር ከተመረጠው ቤተሰብ ይወሰዳል
src/routes/woreda.civil.$eventId.tsx:985	ክስተቱ ተመዝግቧል። አዲስ የነዋሪ መዝገብ ተፈጥሯል።
src/routes/woreda.civil.$eventId.tsx:511	ክስተቱ አልተገኘም
src/routes/woreda.civil.$eventId.tsx:1082	ክስተቱን ውድቅ ማድረግ
src/routes/woreda.services.$requestId.index.tsx:1283	ክፍያ ለመመዝገብ ፈቃድ የለዎትም
src/routes/woreda.credentials.$requestId.index.tsx:1794	ክፍያ መርሃ ግብር አልተገኘም
src/config/permissionLabels.ts:32	ክፍያ መቀበል
src/components/credentials/CredentialQueueTable.tsx:74	ክፍያ መዝግብ
src/routes/woreda.rental-accounts.$occupancyId.tsx:615	ክፍያ ማመንጨት
src/routes/woreda.rental-accounts.$occupancyId.tsx:608	ክፍያ ሰብስብ
src/routes/woreda.credentials.$requestId.index.tsx:109	ክፍያ በመጠበቅ
src/components/credentials/KpiWidgetRow.tsx:48	ክፍያ በመጠበቅ ላይ
src/routes/woreda.rental-accounts.$occupancyId.tsx:1121	ክፍያ ተመላሽ
src/routes/woreda.rental-accounts.$occupancyId.tsx:341	ክፍያ ተመላሽ ተደርጓል
src/routes/woreda.dashboard.tsx:89	ክፍያ ተሰብስቧል
src/routes/woreda.services.$requestId.index.tsx:952	ክፍያ ተቀበል
src/routes/woreda.dashboard.tsx:90	ክፍያ ተነስቷል
src/routes/woreda.rental-accounts.$occupancyId.tsx:273	ክፍያ ተፈጥሯል
src/routes/woreda.dashboard.tsx:72	ክፍያ ተፈጽሟል
src/routes/woreda.credentials.$requestId.index.tsx:1816	ክፍያ ነፃ ነው
src/routes/woreda.civil.$eventId.tsx:1316	ክፍያ አልተሳካም
src/routes/woreda.rental-reports.tsx:145	ክፍያ እና ስብሰባ በጊዜ (ኢትዮ
src/routes/woreda.civil.$eventId.tsx:875	ክፍያ ከተጠናቀቀ በኋላ አዲስ የነዋሪ መዝገብ ይፈጠራል።
src/routes/woreda.civil.$eventId.tsx:886	ክፍያ ከተጠናቀቀ በኋላ የነዋሪ ሁኔታ
src/routes/woreda.credentials.$requestId.index.tsx:1930	ክፍያ የመሰብሰብ ፈቃድ የለዎትም
src/routes/woreda.rental-accounts.$occupancyId.tsx:589	ክፍያ የሚጀምርበት ጊዜ
src/routes/woreda.settings.woreda-configuration.tsx:868	ክፍያ ይፈለጋል
src/routes/woreda.credentials.$requestId.index.tsx:1785	ክፍያው ሲገናኙ በአገልጋይ በኩል ይሰላል
src/routes/woreda.rental-accounts.$occupancyId.tsx:740	ክፍያዎች ብዛት
src/routes/woreda.rental-reports.tsx:140	ክፍያ፣ ዕዳ እድሜ፣ የክፍያ ዕቅድ ተገዢነት እና ማስታረቂያ
src/routes/woreda.services.$requestId.print.tsx:141	ኮዱን በስልክዎ ካሜራ ይቅሙ ወይም ይህን አድራሻ ይጎብኙ
src/components/verification/HararildScanner.tsx:346	ኮዱን በአረንጓዴ ማዕቀፍ ውስጥ ያድርጉ
src/routes/woreda.credentials.$requestId.print.tsx:1075	ኮድ ስላለው በኋላ እንደ ትክክለኛ ሊታይ ይችላል።
src/components/settings/LetterTemplatesTab.tsx:255	ኮድ ይይዛል።
src/routes/admin.tenants.$woredaId.provision.tsx:54	ወረዳ ማረጋገጫ
src/routes/set-password.tsx:44	ወረዳ አስተዳደር ሥርዓት
src/routes/admin.tenants.index.tsx:306	ወረዳዎች
src/routes/admin.console-roles.tsx:52	ወረዳዎችን ማስተዳደር
src/routes/woreda.services.new.tsx:519	ወራት
src/routes/woreda.rental-reports.tsx:189	ወራት ያለፈ
src/routes/woreda.services.new.tsx:463	ወራት ያልተከፈለ የኪራይ ዕዳ አለበት
src/routes/woreda.rental-houses.occupants.new.tsx:820	ወርሃዊ የኪራይ መጠን (ብር
src/routes/woreda.dashboard.tsx:757	ወቅታቸው ያለፈባቸው መታወቂያዎች
src/components/residents/ResidentActions.tsx:236	ወደ ቤተሰብ ጨምር
src/routes/woreda.rental-houses.requests.index.tsx:363	ወደ ቤቶች ተመለስ
src/routes/woreda.credentials.$requestId.index.tsx:752	ወደ ኋላ
src/routes/woreda.residents.$residentId.index.tsx:936	ወደ ንቁ ተመልሷል
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:730	ወደ አቅራቢው መልስ
src/routes/woreda.residents.$residentId.index.tsx:935	ወደ ኢ-ንቁ ተቀይሯል
src/routes/woreda.rental-houses.requests.index.tsx:343	ወደ ውጪ መላክ ተጠናቋል
src/routes/woreda.rental-houses.requests.index.tsx:345	ወደ ውጪ መላክ አልተሳካም
src/routes/woreda.households.$householdId.index.tsx:212	ወደ ዝርዝሩ ተመለስ
src/routes/woreda.credentials.$requestId.index.tsx:775	ወደ ዝርዝር
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:826	ወደ ገቢ ይሂዱ
src/routes/woreda.credentials.$requestId.print.tsx:874	ወደ ጥያቄው
src/routes/woreda.credentials.$requestId.print.tsx:940	ወደ ጥያቄው ተመለስ
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:796	ወደ ፀሐፊ መልስ
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:289	ወደ ፀሐፊ ተመልሷል
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:769	ወደ ፀሐፊ የመመለሻ ምክንያት (እርማት ሲፈለግ ብቻ
src/routes/admin.tenants.$woredaId.provision.tsx:303	ወደዚህ አድራሻ የግብዣ ኢሜይል ይላካል። መለያው
src/routes/woreda.credentials.$requestId.index.tsx:112	ወጪ ተደርጓል
src/config/navGroups.ts:21	ዋና ስራዎች
src/routes/woreda.dashboard.tsx:659	ውሳኔ በመጠባበቅ ያሉ
src/routes/woreda.civil.$eventId.tsx:474	ውድቅ ማድረግ አልተሳካም
src/routes/woreda.credentials.$requestId.index.tsx:1434	ውድቅ ማድረግን አረጋግጥ
src/routes/woreda.services.$requestId.index.tsx:897	ውድቅ አድርግ
src/routes/woreda.civil.$eventId.tsx:971	ውጤት
src/routes/woreda.dashboard.tsx:939	ዕለታዊ ገቢ (30 ቀን
src/routes/woreda.rental-accounts.$occupancyId.tsx:922	ዕቅድ መልስ
src/routes/woreda.rental-accounts.$occupancyId.tsx:717	ዕቅድ ፍጠር
src/routes/woreda.rental-reports.tsx:225	ዕቅዶች
src/routes/woreda.rental-houses.occupants.new.tsx:890	ዕድሜ
src/routes/woreda.households.index.tsx:594	ዘርፍ ሪፖርት
src/utils/amountInWords.ts:96	ዘጠና
src/utils/amountInWords.ts:83	ዘጠኝ
src/routes/admin.dashboard.tsx:137	ዛሬ የተሰጡ መታወቂያዎች
src/components/credentials/KpiWidgetRow.tsx:27	ዛሬ የገቡ
src/utils/amountInWords.ts:117	ዜሮ
src/components/residents/ResidentActions.tsx:217	ዝርዝር ይመልከቱ
src/routes/woreda.credentials.$requestId.index.tsx:1262	የሁኔታ ታሪክ
src/routes/woreda.services.$requestId.index.tsx:694	የሂደት ታሪክ
src/routes/woreda.credentials.$requestId.print.tsx:954	የህትመት መቆጣጠሪያዎች
src/routes/woreda.credentials.$requestId.index.tsx:2472	የህትመት ቀን
src/routes/woreda.credentials.$requestId.print.tsx:1144	የህትመት ፍቃድ
src/routes/woreda.households.index.tsx:678	የለውጥ ምዝግብ
src/routes/woreda.rental-reports.tsx:364	የልዩነት ጠቅላላ
src/routes/woreda.civil.$eventId.tsx:153	የልደት ማጠቃለያ
src/config/permissionLabels.ts:31	የልደት/ሞት/ጋብቻ ምዝገባ መመዝገብ
src/routes/woreda.civil.$eventId.tsx:87	የልጅ መረጃ ሙሉ ነው
src/routes/woreda.civil.birth.new.tsx:38	የልጅ ስም
src/routes/login.tsx:173	የሐረሪ ሕዝብ ክልላዊ መንግሥት
src/components/print/PrintDocumentShell.tsx:17	የሐረሪ ብሔራዊ ክልላዊ መንግስት
src/routes/v.$token.tsx:312	የሐረሪ ክልላዊ መንግሥት
src/routes/woreda.credentials.$requestId.print.tsx:1433	የሐረሪ ክልል
src/components/admin/PlatformUsersTab.tsx:63	የሐረሪ ክልል አስተዳደር
src/components/print/PrintDocumentShell.tsx:490	የሐረሪ ወረዳዎች አስተዳደር ሥርዓት
src/hooks/useReportsAggregate.ts:565	የሕዝብ ሪፖርት
src/routes/woreda.dashboard.tsx:787	የሕዝብ ብዛት በቀበሌ
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:586	የመልቀቂያ ቀን
src/routes/woreda.services.$requestId.index.tsx:518	የመመለስ ምክንያት
src/components/credentials/KpiWidgetRow.tsx:69	የመመለሻ መጠን
src/routes/woreda.rental-accounts.$occupancyId.tsx:817	የመመለሻ ምክንያት
src/components/layout/AppShell.tsx:84	የመመዝገቢያ ሰራተኛ
src/routes/woreda.credentials.$requestId.index.tsx:2748	የመሻሪያ ምክንያት
src/routes/woreda.credentials.$requestId.index.tsx:1409	የመቀበል ምክንያት
src/routes/woreda.rental-houses.$houseId.index.tsx:758	የመተው ቀን (ኢት
src/routes/v.$token.tsx:73	የመታወቂያ ማረጋገጫ
src/routes/woreda.credentials.$requestId.certificate.tsx:109	የመታወቂያ ማረጋገጫ ደብዳቤ
src/hooks/useReportsAggregate.ts:609	የመታወቂያ ሪፖርት
src/routes/admin.credential-template.tsx:618	የመታወቂያ ቅጽ ማስተዳደሪያ
src/config/navGroups.ts:22	የመታወቂያ አስተዳደር
src/routes/admin.console-roles.tsx:57	የመታወቂያ አብነት ማስተዳደር
src/config/permissionLabels.ts:29	የመታወቂያ ካርድ ማውጣት
src/utils/paymentType.ts:5	የመታወቂያ ክፍያ
src/lib/serviceConstants.ts:79	የመታወቂያ ኮፒ
src/routes/woreda.credentials.$requestId.index.tsx:836	የመታወቂያ ዓይነት
src/config/permissionLabels.ts:30	የመታወቂያ ጥያቄ ማጽደቅ
src/routes/woreda.audit.tsx:604	የመነሻ አድራሻ
src/routes/woreda.revenue.$paymentId.receipt.tsx:280	የመንግስት ቤት ወርሃዊ ኪራይ
src/components/residents/ResidentProfileTabs.tsx:338	የመኖሪያ ሁኔታ
src/routes/woreda.audit.tsx:70	የመኖሪያ መታወቂያ
src/lib/residentSchema.ts:184	የመኖሪያ እና የትውልድ ሥፍራ
src/lib/residentSchema.ts:186	የመኖሪያ ጊዜ እና የቀድሞ አድራሻ
src/routes/woreda.audit.tsx:593	የመዝገብ መለያ
src/components/settings/RolesPermissionsTab.tsx:16	የመዝገብ ሰራተኛ
src/components/residents/ResidentProfileTabs.tsx:548	የመዝገብ አይነት
src/routes/woreda.audit.tsx:580	የመዝገብ ዝርዝር
src/routes/admin.console-roles.tsx:53	የመድረክ ተጠቃሚዎችን ማስተዳደር
src/routes/admin.dashboard.tsx:106	የመድረክ አጠቃላይ እይታ
src/routes/admin.audit.tsx:318	የመድረክ ኦዲት መዝገብ
src/routes/woreda.credentials.$requestId.index.tsx:802	የመጀመሪያ ማመልከቻ
src/routes/woreda.rental-houses.occupants.new.tsx:541	የመጀመሪያ ቀን
src/routes/woreda.rental-accounts.$occupancyId.tsx:894	የመጀመሪያ ክፍያ ቀን
src/routes/woreda.rental-accounts.$occupancyId.tsx:368	የመጀመሪያ ክፍያ ቀን ያስፈልጋል
src/lib/residentConstants.ts:23	የመጀመሪያ ደረጃ
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:816	የመጀመሪያውን ኪራይ ከገቢ ገጽ ይሰብስቡ። ደረሰኝ በክፍያ ጊዜ ይፈጠራል።
src/routes/woreda.residents.$residentId.index.tsx:671	የመገኛ አካባቢ አልተመዘገበም
src/components/common/OfflineStatusBar.tsx:98	የመጨረሻ ማመሳሰል
src/routes/woreda.rental-accounts.$occupancyId.tsx:633	የመጨረሻ ቀን
src/routes/woreda.services.$requestId.index.tsx:606	የመፍትሔ ማስታወሻ
src/routes/woreda.rental-houses.requests.$requestId.index.tsx:303	የሚለቀቅ ንቁ ኪራይ የለም
src/routes/woreda.rental-houses.occupants.new.tsx:899	የሚለውን ይጫኑ
src/routes/woreda.credentials.$requestId.index.tsx:865	የሚስተካከሉ መስኮች
src/components/settings/RolesPermissionsTab.tsx:307	የሚና ለውጦች ወዲያውኑ በተጠቃሚዎች ላይ ተፈፃሚ ይሆናሉ
src/components/settings/UsersRolesTab.tsx:508	የሚና ምድብ ስጥ
src/routes/woreda.audit.tsx:78	የሚና ፈቃድ
src/routes/woreda.dashboard.tsx:104	የሚና ፈቃድ ተሰጥቷል
src/routes/woreda.dashboard.tsx:103	የሚና ፈቃድ ተሻሽሏል
src/routes/woreda.dashboard.tsx:105	የሚና ፈቃድ ተከልክሏል
src/routes/woreda.services.$requestId.index.tsx:924	የሚከፈል
src/routes/woreda.credentials.$requestId.index.tsx:1803	የሚከፈል ክፍያ
src/routes/woreda.services.new.tsx:400	የሚያስፈልጉ ሰነዶች
src/routes/woreda.rental-reports.tsx:273	የማረጋገጫ እንቅስቃሴ
src/routes/woreda.services.$requestId.print.tsx:144	የማረጋገጫ ኮድ
src/routes/woreda.credentials.$requestId.index.tsx:935	የማረጋገጫ ዝርዝር
src/components/residents/ResidentProfileTabs.tsx:607	የማስረጃ ጥያቄዎች
src/routes/woreda.credentials.$requestId.index.tsx:869	የማስተካከያ ምክንያት
