Amharic,English,Occurrences,Example Location,Context,All Locations
ኢ-ንቁ,Inactive,2,src/hooks/useReportsAggregate.ts:28,string literal,src/hooks/useReportsAggregate.ts:28; src/routes/woreda.residents.index.tsx:421
እውቂያ,Contact,2,src/components/forms/HouseholdFormFields.tsx:285,titleAm/titleEn prop pair,src/components/forms/HouseholdFormFields.tsx:285; src/routes/woreda.households.$householdId.index.tsx:355
ካርድ,Card,2,src/hooks/useReportsAggregate.ts:55,string literal,src/hooks/useReportsAggregate.ts:55; src/routes/woreda.credentials.$requestId.index.tsx:98
ወጥቷል,Moved Out,2,src/hooks/useReportsAggregate.ts:29,string literal,src/hooks/useReportsAggregate.ts:29; src/routes/woreda.residents.index.tsx:422
ዓላማ,Purpose,2,src/routes/woreda.services.$requestId.index.tsx:565,labelAm/labelEn prop pair,src/routes/woreda.services.$requestId.index.tsx:565; src/routes/woreda.services.new.tsx:412
የልደት ቀን,Date of Birth,2,src/routes/v.$token.tsx:307,labelAm/labelEn prop pair,src/routes/v.$token.tsx:307; src/routes/woreda.credentials.$requestId.print.tsx:1466
የመረጃ ሰጪ ስም ያስፈልጋል,Informant name required,2,src/routes/woreda.civil.birth.new.tsx:61,string literal,src/routes/woreda.civil.birth.new.tsx:61; src/routes/woreda.civil.death.new.tsx:43
የመረጃ ሰጪ ስም ያስፈልጋል,Informant required,2,src/routes/woreda.civil.divorce.new.tsx:53,string literal,src/routes/woreda.civil.divorce.new.tsx:53; src/routes/woreda.civil.marriage.new.tsx:49
የመጀመሪያ ስም,First Name,2,src/components/forms/ResidentWizardSteps.tsx:366,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:366; src/routes/woreda.civil.birth.new.tsx:283
የሞት መንስዔ,Cause of Death,2,src/routes/woreda.civil.$eventId.tsx:646,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:646; src/routes/woreda.civil.death.new.tsx:257
የሞት ስፍራ,Place of Death,2,src/routes/woreda.civil.$eventId.tsx:640,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:640; src/routes/woreda.civil.death.new.tsx:251
የሰጪው አካል,Issuing office,2,src/routes/verify.letter.$token.tsx:136,labelAm/labelEn prop pair,src/routes/verify.letter.$token.tsx:136; src/routes/verify.receipt.$token.tsx:152
የቀረበበት ቀን,Submitted,2,src/routes/woreda.credentials.index.tsx:92,string literal,src/routes/woreda.credentials.index.tsx:92; src/routes/woreda.services.$requestId.index.tsx:559
የባል/የሚስት,Spouse,2,src/components/forms/HouseholdFormFields.tsx:244,labelAm/labelEn prop pair,src/components/forms/HouseholdFormFields.tsx:244; src/routes/woreda.households.$householdId.index.tsx:348
የቤተሰብ ራስ,Household Head,2,src/routes/woreda.households.$householdId.print.tsx:203,titleAm/titleEn prop pair,src/routes/woreda.households.$householdId.print.tsx:203; src/routes/woreda.households.$householdId.print.tsx:206
የቤት መረጃ,House Information,2,src/routes/woreda.rental-houses.$houseId.edit.tsx:138,titleAm/titleEn prop pair,src/routes/woreda.rental-houses.$houseId.edit.tsx:138; src/routes/woreda.rental-houses.new.tsx:117
የቤት ቁጥር ይምረጡ,Select the rental house,2,src/routes/woreda.rental-houses.occupants.new.tsx:323,string literal,src/routes/woreda.rental-houses.occupants.new.tsx:323; src/routes/woreda.rental-houses.occupants.new.tsx:424
የቤት ዓይነት,House Type,2,src/routes/woreda.households.$householdId.print.tsx:180,labelAm/labelEn prop pair,src/routes/woreda.households.$householdId.print.tsx:180; src/routes/woreda.residents.$residentId.print.tsx:262
የተሰጠበት ቀን,Date of issuance,2,src/routes/verify.letter.$token.tsx:109,labelAm/labelEn prop pair,src/routes/verify.letter.$token.tsx:109; src/routes/verify.receipt.$token.tsx:123
የተሻሻለበት,Updated,2,src/routes/woreda.households.index.tsx:203,string literal,src/routes/woreda.households.index.tsx:203; src/routes/woreda.residents.index.tsx:289
የተወለደበት ስፍራ,Place of Birth,2,src/routes/woreda.civil.$eventId.tsx:607,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:607; src/routes/woreda.civil.birth.new.tsx:390
የነዋሪ መለያ ቁ.,Resident ID,2,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:263,labelAm/labelEn prop pair,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:263; src/routes/woreda.residents.$residentId.print.tsx:224
የአባት ስም,Father,2,src/components/forms/ResidentWizardSteps.tsx:382,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:382; src/routes/woreda.civil.birth.new.tsx:291
የአገልግሎት ዝርዝር,Services,2,src/routes/woreda.settings.woreda-configuration.tsx:476,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:476; src/routes/woreda.settings.woreda-configuration.tsx:485
የክስተት ቀን,Event Date,2,src/routes/woreda.civil.$eventId.tsx:545,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:545; src/routes/woreda.civil.index.tsx:281
የክስተት ቁጥር,Event #,2,src/routes/woreda.civil.$eventId.tsx:542,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:542; src/routes/woreda.civil.index.tsx:276
የወረዳ ማህተም,Woreda Seal,2,src/routes/woreda.credentials.$requestId.print.tsx:382,string literal,src/routes/woreda.credentials.$requestId.print.tsx:382; src/routes/woreda.settings.woreda-configuration.tsx:399
የወንድ አያት ስም,Grandfather,2,src/components/forms/ResidentWizardSteps.tsx:390,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:390; src/routes/woreda.civil.birth.new.tsx:299
የጋብቻ ቀን,Marriage Date,2,src/routes/woreda.civil.$eventId.tsx:691,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:691; src/routes/woreda.civil.marriage.new.tsx:256
የጤና ተቋም,Facility,2,src/routes/woreda.civil.$eventId.tsx:610,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:610; src/routes/woreda.civil.$eventId.tsx:643
የጤና ተቋም,Health Facility,2,src/routes/woreda.civil.birth.new.tsx:393,labelAm/labelEn prop pair,src/routes/woreda.civil.birth.new.tsx:393; src/routes/woreda.civil.death.new.tsx:254
የፈራሚ ማህተም,Signature Stamp,2,src/routes/woreda.credentials.$requestId.print.tsx:384,string literal,src/routes/woreda.credentials.$requestId.print.tsx:384; src/routes/woreda.settings.woreda-configuration.tsx:409
የፍርድ ማጣቀሻ,Decree Reference,2,src/routes/woreda.civil.$eventId.tsx:699,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:699; src/routes/woreda.civil.divorce.new.tsx:287
ይህ የቤት ቁጥር በዚህ ቀበሌ ቀደም ሲል ተመዝግቧል,This house number already exists in this kebele,2,src/routes/woreda.households.new.tsx:79,string literal,src/routes/woreda.households.new.tsx:79; src/routes/woreda.households.new.tsx:145
ጉዳይ,Subject,2,src/components/services/ServiceRequestList.tsx:250,string literal,src/components/services/ServiceRequestList.tsx:250; src/routes/woreda.services.new.tsx:403
ግብዣ ተልኳል,Invitation sent,2,src/components/admin/PlatformUsersTab.tsx:650,toast: success,src/components/admin/PlatformUsersTab.tsx:650; src/components/settings/UsersRolesTab.tsx:769
ጸድቆ በሚጠበቅ,Pending Approval,2,src/components/credentials/CredentialQueueTable.tsx:100,string literal,src/components/credentials/CredentialQueueTable.tsx:100; src/routes/woreda.civil.index.tsx:54
ጾታ,Sex,2,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:269,labelAm/labelEn prop pair,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:269; src/routes/woreda.residents.index.tsx:273
ፋይል መጫን አልተሳካም,Upload failed: ${(e as Error).message},2,src/components/forms/ResidentWizardSteps.tsx:307,toast: error,src/components/forms/ResidentWizardSteps.tsx:307; src/routes/woreda.credentials.new.tsx:363
ፍርድ ቤት,Court,2,src/routes/woreda.civil.$eventId.tsx:696,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:696; src/routes/woreda.civil.divorce.new.tsx:283
ፎቶ ተጭኗል,Photo uploaded,2,src/components/forms/ResidentWizardSteps.tsx:225,toast: success,src/components/forms/ResidentWizardSteps.tsx:225; src/routes/woreda.credentials.new.tsx:391
${all.length} መዝገቦች ተልኳል,Exported ${all.length} records,1,src/components/services/ServiceRequestList.tsx:313,toast: success,src/components/services/ServiceRequestList.tsx:313
"${file.name}: JPG, PNG, WEBP ወይም PDF ብቻ","Only JPG, PNG, WEBP or PDF",1,src/routes/woreda.services.new.tsx:153,toast: error,src/routes/woreda.services.new.tsx:153
${file.name}: ከ5MB በላይ,Larger than 5MB,1,src/routes/woreda.services.new.tsx:157,toast: error,src/routes/woreda.services.new.tsx:157
${label}: ምልክቶች አይፈቀዱም,Symbols are not allowed,1,src/lib/residentSchema.ts:14,string literal,src/lib/residentSchema.ts:14
${label}: ምልክቶች አይፈቀዱም,Symbols not allowed,1,src/routes/woreda.civil.birth.new.tsx:33,string literal,src/routes/woreda.civil.birth.new.tsx:33
${periodLabel} · ለውስጥ አገልግሎት ብቻ,Internal use only,1,src/routes/woreda.reports.$reportType.print.tsx:279,string literal,src/routes/woreda.reports.$reportType.print.tsx:279
0–17 ዓመት,0–17 years,1,src/hooks/useReportsAggregate.ts:88,string literal,src/hooks/useReportsAggregate.ts:88
18–35 ዓመት,18–35 years,1,src/hooks/useReportsAggregate.ts:89,string literal,src/hooks/useReportsAggregate.ts:89
36–60 ዓመት,36–60 years,1,src/hooks/useReportsAggregate.ts:90,string literal,src/hooks/useReportsAggregate.ts:90
60+ ዓመት,60+ years,1,src/hooks/useReportsAggregate.ts:91,string literal,src/hooks/useReportsAggregate.ts:91
>ስራ<,span>{,1,src/routes/woreda.rental-houses.$houseId.index.tsx:557,UI text,src/routes/woreda.rental-houses.$houseId.index.tsx:557
>አባላት<,span>{,1,src/routes/woreda.households.index.tsx:371,UI text,src/routes/woreda.households.index.tsx:371
>የልደት ቀን<,span>{,1,src/routes/woreda.residents.index.tsx:466,UI text,src/routes/woreda.residents.index.tsx:466
>የመተው ጥያቄ<,span>{,1,src/routes/woreda.rental-houses.$houseId.index.tsx:670,UI text,src/routes/woreda.rental-houses.$houseId.index.tsx:670
>የመዝገብ ቁጥር<,span>{,1,src/routes/woreda.residents.index.tsx:454,UI text,src/routes/woreda.residents.index.tsx:454
>የስራ አድራሻ<,span>{,1,src/routes/woreda.rental-houses.$houseId.index.tsx:564,UI text,src/routes/woreda.rental-houses.$houseId.index.tsx:564
>የቤተሰብ ኃላፊ<,span>{,1,src/routes/woreda.households.index.tsx:367,UI text,src/routes/woreda.households.index.tsx:367
>የቤት ቁጥር<,span>{,1,src/routes/woreda.households.index.tsx:359,UI text,src/routes/woreda.households.index.tsx:359
>የቤት አይነት<,span>{,1,src/routes/woreda.households.index.tsx:375,UI text,src/routes/woreda.households.index.tsx:375
>የቤት ኪራይ መጠን<,span>{,1,src/routes/woreda.rental-houses.$houseId.index.tsx:578,UI text,src/routes/woreda.rental-houses.$houseId.index.tsx:578
>የተከራይ ምዝገባ ጥያቄ<,span>{,1,src/routes/woreda.rental-houses.$houseId.index.tsx:524,UI text,src/routes/woreda.rental-houses.$houseId.index.tsx:524
>የትውልድ ስፍራ<,span>{,1,src/routes/woreda.rental-houses.$houseId.index.tsx:550,UI text,src/routes/woreda.rental-houses.$houseId.index.tsx:550
>የትውልድ ዘመን<,span>{,1,src/routes/woreda.rental-houses.$houseId.index.tsx:543,UI text,src/routes/woreda.rental-houses.$houseId.index.tsx:543
>የገባበት ቀን<,span>{,1,src/routes/woreda.rental-houses.$houseId.index.tsx:571,UI text,src/routes/woreda.rental-houses.$houseId.index.tsx:571
>ይህ ደብዳቤ ከላይ ያለውን QR ኮድ በመቃኘት ሊረጋገጥ ይችላል።<,span>{,1,src/routes/woreda.credentials.$requestId.certificate.tsx:186,UI text,src/routes/woreda.credentials.$requestId.certificate.tsx:186
>ጾታ<,span>{,1,src/routes/woreda.residents.index.tsx:462,UI text,src/routes/woreda.residents.index.tsx:462
JPG ወይም PNG ብቻ,Only JPG or PNG,1,src/routes/woreda.credentials.new.tsx:376,toast: error,src/routes/woreda.credentials.new.tsx:376
"JPG, PNG, WEBP ወይም PDF ብቻ","Only JPG, PNG, WEBP or PDF",1,src/routes/woreda.services.$requestId.index.tsx:367,toast: error,src/routes/woreda.services.$requestId.index.tsx:367
PDF ብቻ,PDF only,1,src/components/residents/ResidentProfileTabs.tsx:795,toast: error,src/components/residents/ResidentProfileTabs.tsx:795
ሁሉም ቀበሌዎች,All Kebeles,1,src/routes/woreda.residents.index.tsx:434,string literal,src/routes/woreda.residents.index.tsx:434
ሁሉም የስርዓት እንቅስቃሴዎች ዝርዝር,Immutable record of all system activity,1,src/routes/woreda.audit.tsx:348,string literal,src/routes/woreda.audit.tsx:348
ሁሉንም እርምጃዎች ያረጋግጡ,All checks must pass,1,src/routes/woreda.rental-houses.requests.$requestId.index.tsx:259,string literal,src/routes/woreda.rental-houses.requests.$requestId.index.tsx:259
ሁኔታ,Occupancy Status,1,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:228,labelAm/labelEn prop pair,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:228
ሁኔታው ሊቀየር አልቻለም,The status was not changed — it may have been moved by someone else,1,src/routes/woreda.credentials.$requestId.index.tsx:2844,string literal,src/routes/woreda.credentials.$requestId.index.tsx:2844
ሃይማኖት,Religion,1,src/routes/woreda.residents.$residentId.print.tsx:242,labelAm/labelEn prop pair,src/routes/woreda.residents.$residentId.print.tsx:242
ህትመቱ ተረጋግጧል,Print confirmed,1,src/routes/woreda.credentials.$requestId.print.tsx:591,toast: success,src/routes/woreda.credentials.$requestId.print.tsx:591
ህትመቱ አልተሳካም፤ እንደገና ማተም ይችላሉ,Print failed — you can print again,1,src/routes/woreda.credentials.$requestId.print.tsx:634,toast: success,src/routes/woreda.credentials.$requestId.print.tsx:634
ህትመት ተጀምሯል,Printing job sent to ${printerName},1,src/routes/woreda.credentials.$requestId.print.tsx:741,toast: success,src/routes/woreda.credentials.$requestId.print.tsx:741
ለማመሳሰል ይግቡ,Sign in to sync — your queued items are still saved,1,src/components/common/OfflineStatusBar.tsx:41,toast: error,src/components/common/OfflineStatusBar.tsx:41
ለማን,Addressed to,1,src/routes/woreda.services.$requestId.index.tsx:566,labelAm/labelEn prop pair,src/routes/woreda.services.$requestId.index.tsx:566
ለማን ይቀርባል,Addressed to,1,src/routes/woreda.services.new.tsx:419,labelAm/labelEn prop pair,src/routes/woreda.services.new.tsx:419
ለማጽደቅ ተልኳል,Sent for approval,1,src/routes/woreda.civil.$eventId.tsx:399,toast: success,src/routes/woreda.civil.$eventId.tsx:399
ለምሳሌ: ባንክ፣ ፍርድ ቤት፣ አሰሪ,"e.g. bank, court, employer",1,src/routes/woreda.services.new.tsx:424,placeholder,src/routes/woreda.services.new.tsx:424
ለምሳሌ፦ የልደት ሰርተፍኬት,e.g. Birth Certificate,1,src/components/residents/ResidentProfileTabs.tsx:895,placeholder,src/components/residents/ResidentProfileTabs.tsx:895
ሌላ (ይግለፁ),Specify Other,1,src/components/forms/HouseholdFormFields.tsx:348,labelAm/labelEn prop pair,src/components/forms/HouseholdFormFields.tsx:348
ሌላ ተጠሪ,Alternate Head,1,src/routes/woreda.households.$householdId.index.tsx:349,labelAm/labelEn prop pair,src/routes/woreda.households.$householdId.index.tsx:349
ሌላ የመኖሪያ አድራሻ ካለ,Other Residence Address,1,src/components/forms/ResidentWizardSteps.tsx:623,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:623
ሌላ የሥራ አድራሻ ካለ,Other Address,1,src/components/forms/ResidentWizardSteps.tsx:744,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:744
ሌላ የቤተሰብ ተጠሪ,Alternate Head,1,src/components/forms/HouseholdFormFields.tsx:260,labelAm/labelEn prop pair,src/components/forms/HouseholdFormFields.tsx:260
ልቀጥል,Stay signed in,1,src/components/layout/WoredaShell.tsx:116,string literal,src/components/layout/WoredaShell.tsx:116
ልክ 16 አሃዝ መሆን አለበት,Must be exactly 16 digits,1,src/lib/residentSchema.ts:40,string literal,src/lib/residentSchema.ts:40
ልክ የቤት ኪራይ ያስገቡ,Enter a valid rent amount,1,src/routes/woreda.rental-houses.$houseId.index.tsx:476,string literal,src/routes/woreda.rental-houses.$houseId.index.tsx:476
መ.ቁ,Card Number,1,src/routes/v.$token.tsx:301,labelAm/labelEn prop pair,src/routes/v.$token.tsx:301
መ.ቁ,ID No.,1,src/routes/woreda.credentials.$requestId.print.tsx:1455,labelAm/labelEn prop pair,src/routes/woreda.credentials.$requestId.print.tsx:1455
መሰረታዊ መረጃ,General Info,1,src/routes/woreda.settings.woreda-configuration.tsx:309,titleAm/titleEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:309
መሰረዝ አልተሳካም,Delete failed: ${(e as Error).message},1,src/components/residents/ResidentProfileTabs.tsx:872,toast: error,src/components/residents/ResidentProfileTabs.tsx:872
መሰረዝ አልተሳካም,Delete failed,1,src/routes/woreda.settings.woreda-configuration.tsx:837,toast: error,src/routes/woreda.settings.woreda-configuration.tsx:837
መታወቂያ,Credential,1,src/routes/woreda.approvals.tsx:39,string literal,src/routes/woreda.approvals.tsx:39
መታወቂያዎች,Credentials in period,1,src/routes/woreda.reports.index.tsx:303,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:303
መታወቂያዎች በሁኔታ,Credentials by status,1,src/routes/woreda.reports.index.tsx:374,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:374
መታወቂያዎች በዓይነት,Credentials by type,1,src/routes/woreda.reports.index.tsx:380,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:380
መዝገብ አልተገኘም,No records yet,1,src/components/common/TableStates.tsx:31,labelAm/labelEn prop pair,src/components/common/TableStates.tsx:31
መደበኛ,Normal,1,src/lib/serviceConstants.ts:26,string literal,src/lib/serviceConstants.ts:26
መደበኛ ክፍያ (ETB),Standard Fee,1,src/routes/woreda.settings.woreda-configuration.tsx:1438,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:1438
መገኛ አካባቢ,Location,1,src/routes/woreda.households.$householdId.index.tsx:466,titleAm/titleEn prop pair,src/routes/woreda.households.$householdId.index.tsx:466
መጠን,Amount,1,src/routes/woreda.revenue.index.tsx:213,string literal,src/routes/woreda.revenue.index.tsx:213
መጨረሻ የተሻሻለበት,Last Updated,1,src/routes/woreda.residents.$residentId.index.tsx:454,labelAm/labelEn prop pair,src/routes/woreda.residents.$residentId.index.tsx:454
ሙሉ ስም (English),Full Name (English),1,src/routes/woreda.civil.birth.new.tsx:307,labelAm/labelEn prop pair,src/routes/woreda.civil.birth.new.tsx:307
ሙሉ ስም (እንግሊዘኛ),Full Name (English),1,src/components/forms/ResidentWizardSteps.tsx:374,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:374
ሚና ተቀይሯል,Role updated,1,src/components/settings/UsersRolesTab.tsx:248,toast: success,src/components/settings/UsersRolesTab.tsx:248
ሚና ተፈጥሯል,Role created,1,src/components/settings/CustomRolesTab.tsx:204,toast: success,src/components/settings/CustomRolesTab.tsx:204
ማመሳሰል አልተሳካም (እንደገና ይሞከራል),"Sync failed, will retry: ${result.message}",1,src/components/common/OfflineStatusBar.tsx:35,toast: error,src/components/common/OfflineStatusBar.tsx:35
ማረጋገጫ ፊርማ,Certification,1,src/routes/woreda.credentials.$requestId.certificate.tsx:195,titleAm/titleEn prop pair,src/routes/woreda.credentials.$requestId.certificate.tsx:195
ማስረጃ ሰነድ ያለው ጥያቄ ከመስመር ውጭ ሆኖ ማስገባት አይቻልም,A request with attachments cannot be queued offline,1,src/routes/woreda.services.new.tsx:207,string literal,src/routes/woreda.services.new.tsx:207
ማስረጃ ሰነዶች,Supporting documents,1,src/routes/woreda.services.new.tsx:470,titleAm/titleEn prop pair,src/routes/woreda.services.new.tsx:470
ማስረጃው ርክክብ ተደርጓል,Credential issuance confirmed,1,src/routes/woreda.credentials.$requestId.index.tsx:2427,toast: success,src/routes/woreda.credentials.$requestId.index.tsx:2427
ማስረጃው ተሽሯል,Credential revoked,1,src/routes/woreda.credentials.$requestId.index.tsx:2649,toast: success,src/routes/woreda.credentials.$requestId.index.tsx:2649
ማስረጃው ገና አልተፈጠረም,Credential not yet generated,1,src/routes/woreda.credentials.$requestId.print.tsx:806,titleAm/titleEn prop pair,src/routes/woreda.credentials.$requestId.print.tsx:806
ማስቀመጥ አልተሳካም,Save failed: ${e instanceof Error ? e.message :,1,src/components/settings/LetterTemplatesTab.tsx:96,toast: error,src/components/settings/LetterTemplatesTab.tsx:96
ማስገባት አልተሳካም,Submit failed: ${(e as Error).message},1,src/routes/woreda.services.new.tsx:280,toast: error,src/routes/woreda.services.new.tsx:280
ማብራሪያ,Description,1,src/routes/woreda.services.new.tsx:455,labelAm/labelEn prop pair,src/routes/woreda.services.new.tsx:455
ማንነት,Identity,1,src/routes/woreda.residents.$residentId.print.tsx:211,titleAm/titleEn prop pair,src/routes/woreda.residents.$residentId.print.tsx:211
ማዘመን አልተሳካም,Update failed: ${error.message},1,src/routes/woreda.residents.$residentId.edit.tsx:224,toast: error,src/routes/woreda.residents.$residentId.edit.tsx:224
ማገድ ተነስቷል,Suspension lifted,1,src/routes/woreda.credentials.$requestId.index.tsx:2865,string literal,src/routes/woreda.credentials.$requestId.index.tsx:2865
ማጠቃለያ,Summary of the letter,1,src/routes/verify.letter.$token.tsx:131,labelAm/labelEn prop pair,src/routes/verify.letter.$token.tsx:131
ማጠቃለያ,Summary,1,src/routes/woreda.reports.$reportType.print.tsx:287,titleAm/titleEn prop pair,src/routes/woreda.reports.$reportType.print.tsx:287
ማጣቀሻ,Reference No.,1,src/routes/woreda.revenue.$paymentId.receipt.tsx:784,labelAm/labelEn prop pair,src/routes/woreda.revenue.$paymentId.receipt.tsx:784
ማጣቀሻ,Reference,1,src/routes/woreda.revenue.index.tsx:215,string literal,src/routes/woreda.revenue.index.tsx:215
ማጽደቅ,Approval,1,src/routes/woreda.rental-houses.requests.$requestId.index.tsx:653,titleAm/titleEn prop pair,src/routes/woreda.rental-houses.requests.$requestId.index.tsx:653
ምስክር 1,Witness 1,1,src/routes/woreda.civil.marriage.new.tsx:275,labelAm/labelEn prop pair,src/routes/woreda.civil.marriage.new.tsx:275
ምስክር 2,Witness 2,1,src/routes/woreda.civil.marriage.new.tsx:278,labelAm/labelEn prop pair,src/routes/woreda.civil.marriage.new.tsx:278
ምስክር ወረቀቶች (ወር),Credentials This Month,1,src/routes/woreda.dashboard.tsx:275,titleAm/titleEn prop pair,src/routes/woreda.dashboard.tsx:275
ምስክሮች,Witnesses,1,src/routes/woreda.civil.$eventId.tsx:681,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:681
ምንም መዝገብ አልተገኘም,No records to export,1,src/components/services/ServiceRequestList.tsx:290,toast: error,src/components/services/ServiceRequestList.tsx:290
ምንም መዝገብ አልተገኘም,No audit entries yet,1,src/routes/woreda.audit.tsx:469,labelAm/labelEn prop pair,src/routes/woreda.audit.tsx:469
ምንም ክፍያ የለም,No payments yet,1,src/routes/woreda.revenue.index.tsx:445,labelAm/labelEn prop pair,src/routes/woreda.revenue.index.tsx:445
ምክንያት ያስፈልጋል,Reason required,1,src/routes/woreda.rental-houses.$houseId.index.tsx:626,string literal,src/routes/woreda.rental-houses.$houseId.index.tsx:626
ምክንያት ይምረጡ,Select a return reason,1,src/routes/woreda.credentials.$requestId.index.tsx:462,toast: error,src/routes/woreda.credentials.$requestId.index.tsx:462
ምክንያት ይምረጡ,Select a reprint reason,1,src/routes/woreda.credentials.$requestId.print.tsx:650,toast: error,src/routes/woreda.credentials.$requestId.print.tsx:650
ምዝገባ አልተሳካም,Registration failed — ${e.message},1,src/routes/woreda.rental-houses.occupants.new.tsx:417,toast: error,src/routes/woreda.rental-houses.occupants.new.tsx:417
ምዝገባ አልተሳካም,Registration failed: ${error.message},1,src/routes/woreda.residents.new.tsx:119,toast: error,src/routes/woreda.residents.new.tsx:119
ሟች,Deceased,1,src/routes/woreda.civil.$eventId.tsx:618,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:618
ሟች (የተመዘገበ),Deceased (registered resident),1,src/routes/woreda.civil.death.new.tsx:210,labelAm/labelEn prop pair,src/routes/woreda.civil.death.new.tsx:210
ረቂቅ,Draft,1,src/lib/serviceConstants.ts:6,string literal,src/lib/serviceConstants.ts:6
ሪፖርቶች,Reports,1,src/routes/woreda.reports.index.tsx:148,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:148
ሰነዱ ተሰርዟል,Document deleted,1,src/components/residents/ResidentProfileTabs.tsx:868,toast: success,src/components/residents/ResidentProfileTabs.tsx:868
ሰነዱ ተያይዟል,Document attached,1,src/routes/woreda.services.$requestId.index.tsx:393,toast: success,src/routes/woreda.services.$requestId.index.tsx:393
ሰነዱ ተጭኗል,Document uploaded,1,src/components/residents/ResidentProfileTabs.tsx:827,toast: success,src/components/residents/ResidentProfileTabs.tsx:827
ሰነድ ተጭኗል,Document uploaded,1,src/routes/woreda.credentials.new.tsx:361,toast: success,src/routes/woreda.credentials.new.tsx:361
ሴ,F,1,src/routes/woreda.credentials.$requestId.print.tsx:1650,string literal,src/routes/woreda.credentials.$requestId.print.tsx:1650
ስልክ ቁጥር ያስፈልጋል,Phone number required,1,src/lib/phoneNumber.ts:72,string literal,src/lib/phoneNumber.ts:72
ስም,Subject (Am),1,src/routes/woreda.civil.index.tsx:278,string literal,src/routes/woreda.civil.index.tsx:278
ስም,Resident (Am),1,src/routes/woreda.credentials.index.tsx:83,string literal,src/routes/woreda.credentials.index.tsx:83
ስም (አማርኛ),Name (Amharic),1,src/routes/woreda.settings.woreda-configuration.tsx:1108,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:1108
ስም (እንግሊዝኛ),Name (English),1,src/routes/woreda.settings.woreda-configuration.tsx:1115,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:1115
ስራ,Occupation,1,src/routes/woreda.residents.$residentId.index.tsx:524,labelAm/labelEn prop pair,src/routes/woreda.residents.$residentId.index.tsx:524
ስቀላ አልተሳካም,Upload failed: ${(e as Error).message},1,src/components/residents/ResidentProfileTabs.tsx:832,toast: error,src/components/residents/ResidentProfileTabs.tsx:832
ቀበሌ ከተመዘገበ በኋላ ሊቀየር አይችልም,Kebele cannot be changed after registration,1,src/components/forms/HouseholdFormFields.tsx:96,string literal,src/components/forms/HouseholdFormFields.tsx:96
ቀን,Day,1,src/components/common/EthiopianDateInput.tsx:88,placeholder,src/components/common/EthiopianDateInput.tsx:88
ቀን,Submitted,1,src/components/services/ServiceRequestList.tsx:264,string literal,src/components/services/ServiceRequestList.tsx:264
ቀን,Timestamp,1,src/routes/woreda.audit.tsx:285,string literal,src/routes/woreda.audit.tsx:285
ቀን,Date,1,src/routes/woreda.revenue.index.tsx:211,string literal,src/routes/woreda.revenue.index.tsx:211
ቀይር,Replace,1,src/components/forms/ResidentWizardSteps.tsx:877,string literal,src/components/forms/ResidentWizardSteps.tsx:877
ቁጥር,Reference,1,src/components/services/ServiceRequestList.tsx:239,string literal,src/components/services/ServiceRequestList.tsx:239
ቁጥር፣ አመልካች ወይም ጉዳይ,"Reference, applicant or subject",1,src/components/services/ServiceRequestList.tsx:428,string literal,src/components/services/ServiceRequestList.tsx:428
ቅሬታ,Complaint,1,src/routes/woreda.approvals.tsx:38,string literal,src/routes/woreda.approvals.tsx:38
